row,rid,lang,theme,month,ang,iro,hop,rsg,ent,anx,cnt,frm,hum,prf,evid,aff,dis,exh,rsl,care,fair,loya,auth,libe,trad,sexp,indv,scfr,cnsp,dogm,itru,wtru,hawk,ogh,lgbt,gtrd,sxm
0,r_7df81b67bb7b,uk,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,3,0,0.0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,r_7df81b67bb7b,uk,defense-tech,2025-03,0,1,0,0.0,0.0,0,0.0,2,1,0.0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2,r_7df81b67bb7b,uk,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,r_689442514878,uk,defense-tech,2025-03,0,2,1,0.0,0.0,0,0.0,2,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
4,r_689442514878,uk,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,2,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,r_7312171f3a83,uk,defense-tech,2025-03,1,1,0,1.0,0.0,1,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,0,0,0
6,r_689442514878,mk,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,r_bd655ce4f0dc,und,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,4,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,r_7d269adec307,uk,defense-tech,2025-03,1,2,0,1.0,0.0,0,1.0,1,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,-1,-1,0,0,0,0,0
9,r_11a0ef914ebc,uk,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,r_c7d88440da32,uk,defense-tech,2025-03,3,0,0,0.0,0.0,1,3.0,0,0,2.0,1,0,0,1,0,3,2,2,1,2,0,0,1,1,3,3,-2,-2,1,3,0,0,2
11,r_c4e507dee66e,en,defense-tech,2025-03,0,1,0,0.0,1.0,0,0.0,2,1,0.0,1,0,0,0,1,0,0,1,0,0,0,0,1,-1,0,2,0,0,2,2,0,0,0
12,r_ee1a150d3c2a,uk,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,2,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,r_293c63b224cf,it,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,r_b61110327473,ru,defense-tech,2025-03,0,0,0,1.0,0.0,0,0.0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,r_a5d4c2a1e6fc,uk,defense-tech,2025-03,0,0,1,1.0,0.0,0,0.0,2,0,0.0,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,1,0,-1,1,0,0,0,0
16,r_5b1d460a8b43,uk,defense-tech,2025-03,1,0,0,0.0,0.0,1,2.0,1,0,0.0,1,0,0,0,0,2,1,1,0,1,0,0,0,-1,2,2,-2,0,1,1,0,0,0
17,r_e179739cec18,uk,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,r_25059d3f878c,mk,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,r_9d1c23bd61c4,uk,defense-tech,2025-03,1,2,0,1.0,0.0,2,2.0,3,0,0.0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,1,1,-1,-1,0,0,0,0,0
20,r_805d2b66e2b3,uk,defense-tech,2025-03,1,1,1,1.0,0.0,2,1.0,1,1,0.0,1,0,0,0,1,1,0,1,0,2,0,0,1,-1,2,2,0,-1,1,0,0,0,0
21,r_bd04754ec0e8,uk,defense-tech,2025-03,3,2,0,0.0,0.0,0,3.0,0,1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
22,r_09b73071b5a8,uk,defense-tech,2025-03,2,3,0,2.0,0.0,1,3.0,1,2,2.0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,2,-2,-2,0,0,0,0,1
23,r_9d1c23bd61c4,uk,defense-tech,2025-03,0,0,1,0.0,1.0,0,0.0,1,0,0.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,r_50c8d910bf97,uk,defense-tech,2025-03,2,1,1,2.0,0.0,2,1.0,1,0,1.0,1,0,1,1,1,2,0,1,0,0,0,-1,0,1,0,2,-1,-1,2,1,0,0,0
25,r_4f3599499053,uk,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,2,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,r_e289a3b88895,mk,defense-tech,2025-03,1,1,0,0.0,0.0,1,1.0,1,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,r_dc577ad4f76d,uk,defense-tech,2025-03,1,0,2,0.0,3.0,0,1.0,1,0,1.0,0,1,0,0,3,1,0,2,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0
28,r_7df81b67bb7b,uk,defense-tech,2025-03,0,0,0,0.0,0.0,0,1.0,3,0,0.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,r_689442514878,uk,defense-tech,2025-03,0,1,1,0.0,0.0,1,0.0,2,0,0.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
30,r_bd655ce4f0dc,und,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,4,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,r_7d269adec307,uk,defense-tech,2025-03,0,3,0,1.0,0.0,0,2.0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,0
32,r_11a0ef914ebc,uk,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,r_c7d88440da32,uk,defense-tech,2025-03,4,0,0,2.0,0.0,0,3.0,1,0,3.0,1,0,1,1,0,2,1,0,0,1,0,0,0,1,2,3,-1,-2,1,2,0,0,1
34,r_c4e507dee66e,en,defense-tech,2025-03,0,2,0,0.0,1.0,0,1.0,3,2,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0
35,r_ee1a150d3c2a,uk,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,r_293c63b224cf,it,defense-tech,2025-03,0,0,0,0.0,0.0,0,0.0,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,r_95b6867fd514,uk,geopolitics,2021-04,1,2,0,1.0,0.0,0,1.0,2,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0
38,r_f37612a80cc9,uk,geopolitics,2021-04,0,1,0,0.0,0.0,0,0.0,3,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,r_9a55b5147366,uk,geopolitics,2021-04,0,3,0,0.0,0.0,0,0.0,2,2,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,r_1a9d8c40685a,uk,geopolitics,2021-04,0,0,0,0.0,0.0,0,0.0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,r_95b6867fd514,uk,geopolitics,2021-04,1,2,0,1.0,0.0,0,1.0,2,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0
42,r_f37612a80cc9,uk,geopolitics,2021-04,0,1,0,0.0,0.0,0,0.0,3,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,r_9a55b5147366,uk,geopolitics,2021-04,1,3,0,1.0,0.0,0,0.0,1,2,0.0,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,r_1a9d8c40685a,uk,geopolitics,2021-04,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,r_7bf80704d2aa,uk,society-culture,2026-03,2,0,0,0.0,0.0,0,2.0,1,0,0.0,1,-2,0,0,0,3,0,1,0,0,0,0,1,0,0,3,-2,0,0,0,0,0,0
46,r_7bf80704d2aa,uk,society-culture,2026-03,1,1,0,1.0,0.0,1,1.0,1,1,0.0,1,-1,0,0,0,3,2,2,0,0,0,0,0,-1,0,2,1,0,0,0,0,0,0
47,r_046e99cfc05c,uk,society-culture,2026-03,1,1,0,0.0,0.0,1,1.0,1,1,0.0,1,-1,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0
48,r_b5722c32685e,uk,society-culture,2026-03,1,0,0,0.0,0.0,0,1.0,1,0,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0
49,r_7a07ca817df0,it,society-culture,2026-03,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,r_ed9a9e576f57,uk,society-culture,2026-03,0,0,0,0.0,0.0,1,0.0,1,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,r_ed9a9e576f57,uk,society-culture,2026-03,0,0,0,1.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,r_c2c3d35494b0,uk,society-culture,2026-03,0,0,0,0.0,0.0,0,0.0,1,0,0.0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,r_fe878d0c1ecf,ru,society-culture,2026-03,0,4,0,0.0,0.0,0,0.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,r_3c9c41402390,uk,society-culture,2026-03,2,0,0,1.0,0.0,1,0.0,1,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1,0,2,0,0,0,0,0,0,0
55,r_7bf80704d2aa,uk,society-culture,2026-03,3,1,0,0.0,0.0,0,2.0,1,0,0.0,1,-2,0,0,0,0,2,1,0,0,0,0,0,1,0,2,-2,0,0,0,0,0,0
56,r_7a07ca817df0,it,society-culture,2026-03,0,0,0,0.0,0.0,0,0.0,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,r_ed9a9e576f57,uk,society-culture,2026-03,0,0,0,0.0,0.0,0,0.0,1,0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,r_fe878d0c1ecf,ru,society-culture,2026-03,0,4,0,0.0,0.0,0,0.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,r_3c9c41402390,uk,society-culture,2026-03,2,0,0,1.0,0.0,1,0.0,1,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1,0,2,0,0,0,0,0,0,0
60,r_27b377cdccb1,ru,personal,2023-11,0,0,0,0.0,0.0,0,0.0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,r_56227df4900b,uk,personal,2023-11,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,r_b2b3caa52355,uk,personal,2023-11,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,r_b2b3caa52355,uk,personal,2023-11,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,r_293c63b224cf,uk,personal,2023-11,0,1,2,0.0,0.0,0,0.0,2,2,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,-1,0
65,r_0fd5bfed32ef,ru,personal,2023-11,4,2,0,1.0,0.0,0,3.0,2,1,0.0,1,-2,0,1,0,1,2,1,3,0,-1,-1,1,-1,2,3,-2,0,0,2,0,0,0
66,r_c6f60a7e539b,uk,personal,2023-11,1,2,0,0.0,0.0,0,2.0,1,2,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
67,r_362ec60b3cf6,uk,personal,2023-11,2,1,0,0.0,0.0,1,2.0,1,0,0.0,0,0,0,0,1,1,0,2,0,0,0,-1,0,1,0,2,0,-1,2,0,0,0,0
68,r_b2b3caa52355,uk,personal,2023-11,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,r_293c63b224cf,uk,personal,2023-11,0,1,2,0.0,0.0,0,0.0,2,2,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,-1,0
70,r_0fd5bfed32ef,ru,personal,2023-11,4,2,0,1.0,0.0,0,3.0,2,1,0.0,1,-2,0,1,0,1,2,1,3,0,-1,-1,1,-1,2,3,-2,0,0,2,0,0,0
71,r_c6f60a7e539b,uk,personal,2023-11,1,2,0,0.0,0.0,0,2.0,1,2,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,r_362ec60b3cf6,uk,personal,2023-11,3,2,0,0.0,0.0,0,3.0,1,1,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,2,2,0,0,0
73,r_27b377cdccb1,ru,personal,2024-01,0,0,0,0.0,0.0,0,0.0,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,r_56227df4900b,uk,personal,2024-01,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,r_ca112f63a7ca,uk,personal,2024-01,0,0,0,0.0,0.0,0,0.0,2,0,0.0,2,2,1,0,1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
76,r_ca112f63a7ca,uk,personal,2024-01,0,1,0,0.0,0.0,0,0.0,2,1,0.0,1,2,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
77,r_12594015ca29,uk,personal,2024-01,0,0,0,0.0,2.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
78,r_124e5535f7fd,uk,personal,2024-01,1,2,0,0.0,0.0,0,1.0,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,r_124e5535f7fd,uk,personal,2024-01,0,0,0,1.0,0.0,0,0.0,1,0,0.0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
80,r_4ae170d25f31,uk,personal,2024-01,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,r_46fe8c34dfe7,uk,personal,2024-01,0,0,0,0.0,0.0,0,0.0,2,0,0.0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
82,r_77bea832429c,uk,personal,2024-01,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,r_439d5acc91da,uk,personal,2024-01,0,0,1,0.0,1.0,0,0.0,1,0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
84,r_3c02ea026d04,uk,personal,2024-01,2,3,0,1.0,0.0,0,1.0,1,2,0.0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,2,-1,-1,1,0,0,0,0
85,r_c8c17c2fdda1,ru,personal,2024-01,0,0,0,0.0,0.0,1,0.0,2,0,0.0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,r_ca112f63a7ca,uk,personal,2024-01,0,0,0,0.0,0.0,0,0.0,3,0,0.0,2,0,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
87,r_12594015ca29,uk,personal,2024-01,0,0,1,0.0,1.0,0,0.0,2,0,0.0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0
88,r_77bea832429c,uk,personal,2024-01,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,r_439d5acc91da,uk,personal,2024-01,0,0,1,0.0,1.0,0,0.0,1,0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
90,r_3c02ea026d04,uk,personal,2024-01,2,3,0,1.0,0.0,0,1.0,1,2,0.0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,2,-1,-1,1,0,0,0,0
91,r_c8c17c2fdda1,ru,personal,2024-01,0,0,0,0.0,0.0,1,0.0,2,0,0.0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,r_8d719ddf0c56,ru,society-culture,2023-12,0,4,0,0.0,0.0,0,0.0,1,4,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,r_7d4394bc7383,mk,society-culture,2023-12,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,r_94c5b736526f,uk,society-culture,2023-12,0,2,0,0.0,1.0,0,0.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,r_6196cc378cda,uk,society-culture,2023-12,0,0,3,0.0,2.0,0,0.0,2,0,0.0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,r_ddd493668fc9,uk,society-culture,2023-12,0,0,1,0.0,1.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,r_c13ed9b221b5,en,society-culture,2023-12,0,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,r_70e1ceb2d526,ru,society-culture,2023-12,0,0,2,0.0,3.0,0,0.0,0,1,0.0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
99,r_54a2c1e3ad01,uk,society-culture,2023-12,0,0,0,0.0,0.0,0,0.0,0,1,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,r_cd7074fce6bb,uk,society-culture,2023-12,1,0,1,0.0,1.0,0,2.0,1,0,0.0,1,4,0,0,0,0,1,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0
101,r_0b06c57366c7,uk,society-culture,2023-12,2,0,0,1.0,,1,3.0,1,0,0.0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0
102,r_94c5b736526f,uk,society-culture,2023-12,0,2,0,0.0,1.0,0,0.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,r_6196cc378cda,uk,society-culture,2023-12,0,0,4,0.0,0.0,0,0.0,3,0,0.0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
