graph,ca,cb,obs_w,obs_over_exp
coengage,0,0,198.8,3.26
coengage,0,1,52.6,1.277
coengage,0,2,45.9,1.333
coengage,0,3,129.8,1.4
coengage,0,4,42.9,1.37
coengage,0,5,9.8,1.737
coengage,0,6,55.6,1.684
coengage,0,7,59.1,1.625
coengage,0,8,1.5,2.102
coengage,0,9,14.0,1.68
coengage,0,10,117.2,2.03
coengage,0,11,13.2,1.605
coengage,0,12,0.0,0.0
coengage,0,13,19.4,1.406
coengage,0,14,3.7,0.874
coengage,0,15,16.7,1.364
coengage,1,0,52.6,1.277
coengage,1,1,114.9,4.13
coengage,1,2,37.7,1.62
coengage,1,3,115.8,1.85
coengage,1,4,38.9,1.84
coengage,1,5,5.1,1.335
coengage,1,6,33.8,1.516
coengage,1,7,36.7,1.491
coengage,1,8,0.6,1.279
coengage,1,9,6.5,1.148
coengage,1,10,56.9,1.46
coengage,1,11,6.0,1.076
coengage,1,12,0.0,0.0
coengage,1,13,10.1,1.088
coengage,1,14,2.9,1.01
coengage,1,15,8.5,1.033
coengage,2,0,45.9,1.333
coengage,2,1,37.7,1.62
coengage,2,2,78.7,4.054
coengage,2,3,104.4,1.996
coengage,2,4,29.7,1.68
coengage,2,5,3.5,1.105
coengage,2,6,28.2,1.516
coengage,2,7,31.5,1.534
coengage,2,8,0.1,0.26
coengage,2,9,7.4,1.566
coengage,2,10,48.2,1.48
coengage,2,11,5.5,1.19
coengage,2,12,0.0,0.0
coengage,2,13,8.4,1.081
coengage,2,14,3.3,1.376
coengage,2,15,7.7,1.119
coengage,3,0,129.8,1.4
coengage,3,1,115.8,1.85
coengage,3,2,104.4,1.996
coengage,3,3,309.6,2.196
coengage,3,4,82.2,1.727
coengage,3,5,8.2,0.956
coengage,3,6,84.2,1.677
coengage,3,7,106.6,1.926
coengage,3,8,1.0,0.872
coengage,3,9,16.9,1.336
coengage,3,10,134.1,1.527
coengage,3,11,21.2,1.691
coengage,3,12,0.0,0.0
coengage,3,13,37.6,1.793
coengage,3,14,8.2,1.262
coengage,3,15,26.6,1.432
coengage,4,0,42.9,1.37
coengage,4,1,38.9,1.84
coengage,4,2,29.7,1.68
coengage,4,3,82.2,1.727
coengage,4,4,80.6,5.021
coengage,4,5,4.6,1.577
coengage,4,6,26.6,1.573
coengage,4,7,21.7,1.161
coengage,4,8,0.7,1.895
coengage,4,9,4.5,1.048
