graph,dim,assort,z,p
coengage,aff,0.03491343226878916,6.052378407214802,0.0
coengage,dogm,0.03402684637384238,5.735116474398829,0.0
coengage,evid,0.024041067171222362,4.693274678735463,0.0
coengage,insight,0.02084608929416627,4.162559802533423,0.0
coengage,cnt,0.022681465949275816,4.009145082413316,0.0
coengage,ang,0.021637200821653487,3.7382989789328724,0.0
coengage,hum,0.01847017434759364,3.355205305515389,0.0
coengage,constructiveness,0.014848811665730561,3.124124616898461,0.0
coengage,ogh,0.01386114127252043,2.8775405030371264,0.0
coengage,dominant_lang,0.006356678278258884,2.314746778560015,0.02
coengage,iro,0.010877881042897088,2.1494689371410365,0.025
coengage,itru,0.009882826322699797,2.139839152839097,0.04
coengage,rsg,0.009579093079168212,2.040818282242021,0.045
coengage,frm,0.007624380869304169,1.8701306757914578,0.04
coengage,trad,0.007681481716004597,1.8004169388788995,0.08
coengage,civility,0.0070042044037658515,1.687043922076088,0.1
coengage,politeness,0.005655602147568253,1.3992103562391613,0.17
coengage,cnsp,0.004302421536260761,1.2507163528669454,0.21
coengage,scfr,0.0014614051173821433,0.8094662111447057,0.45
coengage,wtru,0.0021100409843789678,0.7440543130078756,0.46
coengage,indv,0.0014340631666900012,0.7202511009724064,0.495
coengage,hawk,0.0005034427568072921,0.6376512037897988,0.505
coengage,av_gnd,-0.0056985162719616865,0.07456595141498101,0.92
coengage,hop,-0.006638378999117879,-0.5572373560259553,0.59
coengage,behaviour_cluster,-0.058530746566936506,-10.354622275629229,0.0
coengage,ga_role,-0.07057827808227526,-15.673677415811254,0.0
reply,civility,0.1108849741116591,3.178686806028,0.005
reply,cnsp,0.06995093250213726,3.150465667802367,0.0
reply,iro,0.09391445328655011,3.0527561012572884,0.0
reply,ang,0.08108334213352184,2.6266488156975676,0.01
reply,cnt,0.08822371666984745,2.6259181188282965,0.005
reply,hum,0.07530526179569211,2.5471824742332516,0.02
reply,wtru,0.06426493857904532,2.4474762512573527,0.005
reply,ogh,0.06260707532725007,2.402843149289839,0.015
reply,constructiveness,0.04819604558979782,2.1847182002500527,0.03
reply,insight,0.05334518781951667,2.1150929651770247,0.015
reply,rsg,0.04880762718584126,2.0716053042851272,0.025
reply,politeness,0.05215478038780426,1.994131457804936,0.04
reply,scfr,0.047200488996709526,1.8623708224519144,0.06
reply,evid,0.0362978757464444,1.7810640167652037,0.065
reply,frm,0.024202060082191355,1.4865195157524778,0.13
reply,dogm,0.018447272368550476,1.4331529571270354,0.145
reply,hawk,0.02104474560403887,1.3438394295148095,0.175
reply,indv,0.023519624598549692,1.266000263320565,0.225
reply,aff,0.0062006230744075744,1.0612399489608397,0.305
reply,hop,0.005123233893043717,1.0305616145198693,0.305
reply,itru,-0.006900400587889228,0.7667178745002999,0.405
reply,av_gnd,-0.03697113069692464,0.2928750634116652,0.755
reply,trad,-0.025398708256022893,0.25169721503524317,0.82
reply,dominant_lang,-0.04519091348477527,-0.252048602324438,0.745
reply,ga_role,-0.030513248669206725,-0.7991425586974259,0.42
reply,behaviour_cluster,-0.11396561478886041,-1.6377485083655308,0.1
