community,defense-tech,war-strategy,geopolitics,nuclear,ukraine-politics,economy,ai-tech,science-medicine,society-culture,personal,other
-1,0.1469,0.1134,0.2397,0.0193,0.0342,0.0228,0.0371,0.0221,0.2168,0.1348,0.0128
0,0.1175,0.0585,0.3041,0.0772,0.062,0.0298,0.0269,0.0363,0.1515,0.1345,0.0018
1,0.1803,0.0948,0.1496,0.0019,0.026,0.0046,0.0167,0.0019,0.211,0.3104,0.0028
2,0.1513,0.0953,0.2018,0.0179,0.0437,0.0078,0.0078,0.0022,0.3487,0.1177,0.0056
3,0.1489,0.1103,0.2614,0.0142,0.0309,0.0211,0.0229,0.0069,0.2577,0.1198,0.0058
4,0.2249,0.088,0.2836,0.0465,0.0452,0.011,0.0183,0.022,0.1675,0.0929,0.0
5,0.4222,0.0444,0.1185,0.037,0.0296,0.0444,0.0074,0.0074,0.2741,0.0148,0.0
6,0.1731,0.1063,0.2489,0.0079,0.0475,0.0158,0.0611,0.0079,0.1482,0.1674,0.0158
7,0.1283,0.1157,0.2534,0.0063,0.0673,0.0263,0.0105,0.0074,0.2429,0.1356,0.0063
8,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0625,0.0
9,0.217,0.166,0.1021,0.0085,0.1702,0.017,0.0553,0.0383,0.1872,0.0383,0.0
10,0.0893,0.0574,0.3267,0.0249,0.0204,0.0408,0.0479,0.0236,0.2668,0.0951,0.007
11,0.0613,0.0943,0.0755,0.1462,0.0708,0.0283,0.0,0.0094,0.4245,0.0849,0.0047
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0888,0.0414,0.3195,0.003,0.0089,0.0089,0.1243,0.0,0.3254,0.0799,0.0
14,0.4667,0.0167,0.0167,0.0167,0.0083,0.0,0.0,0.0,0.4667,0.0083,0.0
15,0.1196,0.0521,0.1687,0.0031,0.2055,0.092,0.1227,0.0031,0.1227,0.0644,0.046
