rid,n_comments,reactions_received,posts_engaged,reactions_given,engaged_via,dominant_lang,community,betweenness,wm_zscore,participation,ga_role,behaviour_cluster,politeness,constructiveness,insight,civility,n_scored,ang,iro,hop,rsg,ent,anx,cnt,frm,hum,prf,evid,n_a,n_b
r_ba32eeecb30a,0,0,1,1,reaction_only,und,0,0.0,-0.34,0.528,peripheral,2,,,,,,,,,,,,,,,,,,
r_eeedfbdf9b14,54,33,12,0,comment,uk,4,0.0028,1.87,0.876,connector,2,1.54,1.35,0.98,2.69,48.0,0.521,0.542,0.333,0.125,0.417,0.0,0.625,1.75,0.417,0.062,0.708,48.0,48.0
r_8aec78d7a17f,0,0,1,1,reaction_only,und,7,0.0,-0.17,0.318,peripheral,2,,,,,,,,,,,,,,,,,,
r_f30daeeb20e0,2,2,1,0,comment,und,4,0.0,-0.17,0.457,peripheral,2,,,,,,,,,,,,,,,,,,
r_c62a4d8b7dd2,2,0,1,0,comment,und,13,0.0,-0.9,0.678,connector,2,,,,,,,,,,,,,,,,,,
r_98c9979ef3ee,1,12,1,0,comment,uk,10,0.0,-0.25,0.316,peripheral,2,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0
r_9c9789c383d1,1,0,1,0,comment,uk,10,0.0,-0.48,0.77,connector,2,3.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
r_a49579957dd8,0,0,1,1,reaction_only,und,11,0.0,0.01,0.478,peripheral,2,,,,,,,,,,,,,,,,,,
r_f5fdc4c48100,2,1,2,0,comment,ru,0,0.0,-0.02,0.593,peripheral,2,1.0,0.0,0.0,2.0,2.0,1.0,0.5,0.0,1.0,0.0,1.0,1.5,1.0,0.0,0.5,0.0,2.0,2.0
r_dfac96c8e6e0,0,0,1,1,reaction_only,und,6,0.0,-0.17,0.438,peripheral,2,,,,,,,,,,,,,,,,,,
r_f3c058e87411,2,6,1,0,comment,uk,4,0.0,-0.7,0.8,connector,2,4.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5,0.0,0.0,0.0,2.0,2.0
r_781b5b89121d,5,2,10,7,comment,und,4,0.0,1.64,0.828,connector,0,,,,,,,,,,,,,,,,,,
r_4c4e83bd7b65,0,0,1,1,reaction_only,und,4,0.0,-0.47,0.735,connector,2,,,,,,,,,,,,,,,,,,
r_5c1cd39e9975,0,0,1,1,reaction_only,und,10,0.0,-0.43,0.698,connector,2,,,,,,,,,,,,,,,,,,
r_905441e5fb7a,1,3,1,0,comment,uk,3,0.0,-0.42,0.58,peripheral,2,3.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
r_3324ffc94527,0,0,6,6,reaction_only,und,3,0.0,0.43,0.676,connector,0,,,,,,,,,,,,,,,,,,
r_f79d90a9b604,4,12,1,0,comment,uk,1,0.0,-0.42,0.765,connector,2,2.5,2.0,1.0,3.5,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,1.5,0.5,0.0,0.5,4.0,4.0
r_f0b82c64d488,2,2,1,0,comment,uk,3,0.0,-0.49,0.738,connector,2,3.0,1.0,0.0,3.5,2.0,0.0,2.5,0.0,0.0,0.0,0.5,0.0,0.5,2.5,0.0,0.0,2.0,2.0
r_4e6029c6718e,1,2,1,0,comment,uk,4,0.0,-0.65,0.625,connector,2,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
r_04d39de2aafe,0,0,1,1,reaction_only,und,2,0.0,-0.35,0.654,connector,2,,,,,,,,,,,,,,,,,,
r_dcc59c7f20ae,2,0,1,0,comment,uk,4,0.0,0.12,0.0,peripheral,2,2.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0
r_b5ec0b12597d,2,2,3,2,comment,und,13,0.0,0.43,0.784,connector,2,,,,,,,,,,,,,,,,,,
r_b427964de794,1,0,1,0,comment,uk,4,0.0,-0.18,0.472,peripheral,2,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0
r_4762bb7681c5,14,5,6,1,comment,und,10,0.0,0.33,0.81,connector,2,1.88,1.5,0.75,3.25,8.0,0.0,0.875,0.5,0.0,0.25,0.75,0.0,1.75,0.75,0.0,0.75,8.0,8.0
r_20bed605a34a,10,40,5,0,comment,uk,10,0.0,0.29,0.775,connector,2,2.57,2.43,1.57,3.29,7.0,0.625,0.5,0.125,0.5,0.125,0.5,0.75,2.375,0.25,0.125,1.75,8.0,8.0
r_a22f2df267a8,6,4,3,0,comment,uk,10,0.0,-0.12,0.741,connector,2,1.2,1.0,0.4,2.4,5.0,1.667,1.333,0.0,0.333,0.0,0.667,1.333,1.167,0.833,0.167,0.0,6.0,6.0
r_761474ac849b,0,0,1,1,reaction_only,und,1,0.0,-0.45,0.76,connector,2,,,,,,,,,,,,,,,,,,
r_e1e423fad71c,0,0,1,1,reaction_only,und,3,0.0,-0.46,0.704,connector,2,,,,,,,,,,,,,,,,,,
r_cbabea580ed1,13,38,6,1,comment,uk,1,0.0046,0.49,0.834,connector,2,1.73,1.0,0.27,2.82,11.0,1.273,0.636,0.0,0.636,0.182,0.818,0.545,1.364,0.636,0.091,0.0,11.0,11.0
r_fa735966b509,0,0,1,1,reaction_only,und,2,0.0,-0.16,0.347,peripheral,2,,,,,,,,,,,,,,,,,,
r_c5d3201398c0,2,6,1,0,comment,uk,2,0.0,-0.16,0.347,peripheral,2,2.0,3.0,2.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,0.5,0.0,2.0,0.0,0.0,2.0,2.0,2.0
r_d2a105c5d172,3,4,3,1,comment,und,10,0.0,-0.09,0.778,connector,2,3.0,2.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
r_428598e00ba9,0,0,1,1,reaction_only,und,3,0.0,-0.41,0.547,peripheral,2,,,,,,,,,,,,,,,,,,
